conabio_id,clave_original,tipo_alimento,food_type,descripcion_alimento,food_description,procedencia,referencias_ids,taxon_id,taxon,categoria,estatus,fuente,nombre_autoridad,cites,Ácido ascórbico,Ácido  láurico,Ácido araquídico,Ácido aspártico,Ácido behénico,Ácido Butírico,Ácido caprico,Ácido caprílico,Ácido caproico,Ácido cis-10-heptadecanoico,Ácido cis-11-eicosenoico,Ácido cis-11;14-eicosatrienoico,Ácido cis-11;14;17-eicosatrienoico,Ácido elaídico,Ácido esteárico,Ácido glutámico,Ácido heneicosanoico,Ácido heptadecanoico,Ácido lignocérico,Ácido linoleico,Ácido linolénico,Ácido mirístico,Ácido oleico,Ácido palmítico,Ácido palmitoleico,Ácido pentadecanoico,Ácido tricosanoico,Ácido undecanoico,Ácido y-linolénico,Ácidos grasos saturados,Alanina,Almidón,Aminoácidos aromáticos totales,Aminoácidos azufrados totales,Arginina,Azúcares,Beta carotenos,Calcio,Carotenos,Cenizas,Cisteína,Cobre,Colesterol,Energía,Extracto etéreo,Fenilalanina,Fibra bruta,Fibra dietaria insoluble,Fibra dietaria total,Fósforo,Glicina,Hidratos de carbono,Hierro,Histidina,Humedad,Isoleucina,Lactosa,Leucina,Lisina,Litio,Magnesio,Manganeso,Metionina,Niacina,Polisacáridos no amiláceos insolubles,Polisacáridos no amiláceos totales,Porción comestible,Potasio,Prolina,Proteína bruta,Riboflavina (Vitamina B2),Selenio,Serina,Sodio,Tiamina (Vitamina B1),Tirosina,Treonina,Triptófano,Valina,Vitamina A,Zinc,Similar abajo?,Similar arriba?,Check for similar items,Columnas sin macro o micronutrientes,Columnas con macro o micronutrientes
0,13307,ADEREZO,DRESSINGS,Mayonesa Artesanal - Mayonnaise Craft,Mayonnaise Craft,,['36'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.54 g,,,,,,0 g,,,,1.71 g,,,,787.25 kcal,82.43 g,,,,,,,0.17 g,,,12.4 g,,,,,,,,,,,,1%,,,3.29 g,,,,557.87 mg,,,,,,,,FALSO,FALSO,Valor único,71,10
1,2413,ADEREZO,DRESSINGS,Mayonesa Con Jugo De Limón - Mayonnaise With Lemon Juice,Mayonnaise With Lemon Juice,,['3'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4 g,,,,720 kcal,77.8 g,,,,,,,6.9 g,,,12.6 g,,,,,,,,,,,,1%,,,1.3 g,,,,,,,,,,,,FALSO,FALSO,Valor único,74,7
10,8802,ALGAS Y HONGOS,ALGAE AND FUNGI,Alga Spirulina Maxima - Seaweed Spirulina Maxima,Seaweed Spirulina Maxima,,['36'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68887.45 mg,12.4 g,,,,263 kcal,7.5 g,,0 g,,,,,11.1 g,,,7.2 g,,,,,,,,,,,,1%,,,61.8 g,234 mg,,,,0.16 mg,,,,,38232.53 U.I.,,FALSO,FALSO,Valor único,69,12
100,9795,"AZÚCARES, MIELES Y DULCES","SUGAR, HONEY AND CANDY",Caramelo Suave - Sweet Soft Candy,Sweet Soft Candy,,['36'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24 mg,,,36 g / 100 g proteína,,,,,,,,,,,1%,,,9.46 g,,,,,,,,,,,4.03 mg,FALSO,FALSO,Valor único,76,5
1000,1019,FRUTAS,FRUITS,Membrillo - Quince,Quince,Puebla,['5'],,,,,,,,14.7 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06 mg,50 mg,,0.5 g,,,,171 kcal,0.49 g,,1.66 g,,,4 mg,,12.08 g,,,84.9 g,,,,,,,,,0.3 mg,,,0.60%,,,0.37 g,0.04 mg,,,,0.05 mg,,,,,,,FALSO,FALSO,Valor único,66,15
1001,1018,FRUTAS,FRUITS,Membrillo Melocotón - Quince Peach,Quince Peach,,['5'],,,,,,,,13.8 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1 mg,60 mg,,0.2 g,,,,,,,,,,5 mg,,,,,86.9 g,,,,,,,,,0.26 mg,,,0.60%,,,,0.02 mg,,,,0.1 mg,,,,,,,FALSO,FALSO,Valor único,71,10
1002,1021,FRUTAS,FRUITS,Nance - Golden Spoon,Golden Spoon,Yucatán,['5'],,,,,,,,125.5 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03 mg,37 mg,,0.5 g,,,,41 kcal,1.31 g,,5.42 g,,,7 mg,,6.45 g,1.39 mg,,84.2 g,,,,,,,,,0.34 mg,,,0.20%,,,2.12 g,0.04 mg,,,,0.02 mg,,,,,,,VERDADERO,FALSO,Posibles valores repetidos,65,16
1003,1022,FRUTAS,FRUITS,Nance - Golden Spoon,Golden Spoon,Morelos,['5'],,,,,,,,45.6 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05 mg,40 mg,,0.6 g,,,,57 kcal,1.38 g,,2.55 g,,,14 mg,,11.7 g,,,82.9 g,,,,,,,,,0.41 mg,,,0.20%,,,0.87 g,0.01 mg,,,,0.01 mg,,,,,,,FALSO,VERDADERO,Posibles valores repetidos,66,15
1004,1020,FRUTAS,FRUITS,Nance Agrio - Golden Spoon Sour,Golden Spoon Sour,Yucatán,['5'],,,,,,,,97.2 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02 mg,19 mg,,0.5 g,,,,55 kcal,1.16 g,,1.6 g,,,18 mg,,11.17 g,2.04 mg,,84.2 g,,,,,,,,,0.38 mg,,,0.20%,,,1.37 g,0.04 mg,,,,0.05 mg,,,,,,,FALSO,FALSO,Valor único,65,16
1005,1035,FRUTAS,FRUITS,Naranja - Orange,Orange,Nuevo León,['5'],,,,,,,,37.3 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 mg,36 mg,,0.5 g,,,,35 kcal,0.02 g,,0.3 g,,,27 mg,,8.91 g,0.19 mg,,89.4 g,,,,,,,,,0.38 mg,,,0.63%,,,0.87 g,0.03 mg,,,,0.07 mg,,,,,,,VERDADERO,FALSO,Posibles valores repetidos,65,16
1006,1036,FRUTAS,FRUITS,Naranja - Orange,Orange,Nuevo León,['5'],,,,,,,,50.8 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 mg,56 mg,,0.5 g,,,,41 kcal,0.03 g,,0.26 g,,,28 mg,,10.58 g,0.28 mg,,87.7 g,,,,,,,,,0.38 mg,,,0.63%,,,0.93 g,0.04 mg,,,,0.09 mg,,,,,,,VERDADERO,VERDADERO,Posibles valores repetidos,65,16
1007,1037,FRUTAS,FRUITS,Naranja - Orange,Orange,San Luis Potosí,['5'],,,,,,,,59.7 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24 mg,46 mg,,0.3 g,,,,35 kcal,0.08 g,,0.35 g,,,20 mg,,8.83 g,0.3 mg,,89.6 g,,,,,,,,,0.48 mg,,,0.63%,,,0.84 g,0.06 mg,,,,0.06 mg,,,,,,,VERDADERO,VERDADERO,Posibles valores repetidos,65,16
1008,1038,FRUTAS,FRUITS,Naranja - Orange,Orange,Veracruz,['5'],,,,,,,,48.4 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03 mg,61 mg,,0.4 g,,,,35 kcal,0.04 g,,1.06 g,,,18 mg,,8.89 g,3.1 mg,,88.8 g,,,,,,,,,0.36 mg,,,0.63%,,,0.81 g,0.04 mg,,,,0.07 mg,,,,,,,VERDADERO,VERDADERO,Posibles valores repetidos,65,16
1009,1039,FRUTAS,FRUITS,Naranja - Orange,Orange,Veracruz,"['5,38']",,,,,,,,182 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29 mg,33 mg,,0.4 g,,,,,,,,,,17 mg,,,0.2 mg,,86.6 g,,,,,,,,,0.25 mg,1 g,3.1 g,0.63%,,,0.81 g,0.03 mg,,,,0.09 mg,,,,,,,FALSO,VERDADERO,Posibles valores repetidos,67,14
101,2818,"AZÚCARES, MIELES Y DULCES","SUGAR, HONEY AND CANDY","Chocolate Amargo, Para Mesa - Chocolate Bitter, For Beverages","Chocolate Bitter, For Beverages",,['36'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6 g,,,,,,,,,,,,,,,0.3 g,,,,,,,,,,,,1%,,,5.9 g,,,,51.07 mg,,,,,,,,FALSO,FALSO,Valor único,76,5
1010,1040,FRUTAS,FRUITS,Naranja - Orange,Orange,"México, Distrito Federal","['34,35']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 mg,,,,,,2.8 g,3 g,,,,0.9 mg,,,,,,,,,,,,,,0.63%,,,,,,,,,,,,,,0.51 mg,FALSO,FALSO,Valor único,75,6
1011,1023,FRUTAS,FRUITS,Naranja Agria - Orange Sour,Orange Sour,Yucatán,['5'],,,,,,,,31.4 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01 mg,65 mg,,0.8 g,,,,58 kcal,0.63 g,,1.29 g,,,21 mg,,13.38 g,0.8 mg,,82.4 g,,,,,,,,,0.38 mg,,,0.63%,,,1.5 g,0.01 mg,,,,0.07 mg,,,,,,,FALSO,FALSO,Valor único,65,16
1012,1024,FRUTAS,FRUITS,Naranja Cajera - Orange Bitter-Sweet Orange,Orange Bitter-Sweet Orange,Yucatán,['5'],,,,,,,,51.4 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 mg,46 mg,,0.5 g,,,,49 kcal,0.66 g,,0.25 g,,,21 mg,,11.19 g,2.52 mg,,86.4 g,,,,,,,,,0.38 mg,,,0.63%,,,1 g,0.03 mg,,,,0.11 mg,,,,,,,FALSO,FALSO,Valor único,65,16
1013,1025,FRUTAS,FRUITS,Naranja China - Orange Kumquat,Orange Kumquat,,['5'],,,,,,,,73 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72 mg,69 mg,,0.4 g,,,,58 kcal,0.13 g,,1.64 g,,,22 mg,,14.56 g,1.7 mg,,81.9 g,,,,,,,,,0.88 mg,,,0.63%,,,1.37 g,0.04 mg,,,,0.2 mg,,,,,,,FALSO,FALSO,Valor único,65,16
1014,1026,FRUTAS,FRUITS,Naranja Concentrado - Orange  Concentrated,Orange  Concentrated,,['2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 g,,,,218 kcal,0 g,,0 g,,,,,61.1 g,,,38.3 g,,,,,,,,,,,,1%,,,0.1 g,,,,,,,,,,,,VERDADERO,FALSO,Posibles valores repetidos,73,8
1015,1027,FRUTAS,FRUITS,Naranja Concentrado - Orange  Concentrated,Orange  Concentrated,,['36'],,,,,,,,157.09 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 g,,,,235 kcal,0.4 g,,0.4 g,,,,,63.8 g,,,30.8 g,,,,,,,,,,,,1%,,,0.6 g,,,,,,,,,,,,VERDADERO,VERDADERO,Posibles valores repetidos,72,9
1016,1028,FRUTAS,FRUITS,Naranja Concentrado - Orange  Concentrated,Orange  Concentrated,,['36'],,,,,,,,33.43 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8 g,,,,242 kcal,0.5 g,,0.2 g,,,,,65.1 g,,,31.2 g,,,,,,,,,,,,1%,,,1.2 g,,,,,,,,,,,,VERDADERO,VERDADERO,Posibles valores repetidos,72,9
1017,1029,FRUTAS,FRUITS,Naranja Concentrado - Orange  Concentrated,Orange  Concentrated,,['36'],,,,,,,,82.84 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5 g,,,,242 kcal,0.5 g,,0.1 g,,,,,64.2 g,,,31.6 g,,,,,,,,,,,,1%,,,2.1 g,,,,,,,,,,,,VERDADERO,VERDADERO,Posibles valores repetidos,72,9
1018,1030,FRUTAS,FRUITS,Naranja Concentrado - Orange  Concentrated,Orange  Concentrated,,['36'],,,,,,,,144.21 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9 g,,,,245 kcal,0.3 g,,0.1 g,,,,,66.2 g,,,31.1 g,,,,,,,,,,,,1%,,,1.4 g,,,,,,,,,,,,VERDADERO,VERDADERO,Posibles valores repetidos,72,9
1019,12757,FRUTAS,FRUITS,Naranja Concentrado - Orange  Concentrated,Orange  Concentrated,,['36'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.81 g,,,,0.81 g,,0 mg,,280.26 kcal,0.94 g,,0.2 g,,,,,66.59 g,0 mg,,30.1 g,,,,,,,,,,,,,,,1.35 g,,,,55.91 mg,,,,,,,0 mg,FALSO,VERDADERO,Posibles valores repetidos,69,12
102,2819,"AZÚCARES, MIELES Y DULCES","SUGAR, HONEY AND CANDY",Chocolate Cobertura De Barquillo - Chocolate Ice Cream Icing,Chocolate Ice Cream Icing,,['36'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7 g,,22.44 mg,,0.8 g,,0 mg,,707.4 kcal,63.4 g,,1.5 g,,,,,32.3 g,1.87 mg,,0.1 g,,,,,,21.19 mg,,,,,,1%,92 mg,,1.9 g,,,,37.1 mg,,,,,,,0.84 mg,FALSO,FALSO,Valor único,65,16
1020,1031,FRUTAS,FRUITS,Naranja Dulce - Orange  Sweet,Orange  Sweet,Yucatán,"['2,5']",,,,,,,,27.25 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14 mg,56 mg,,0.4 g,,,,52 kcal,0.09 g,,3.1 g,,,24 mg,,12.67 g,1.99 mg,,82 g,,,,,,,,,0.16 mg,,,0.63%,,,1.74 g,0.03 mg,,,,0.13 mg,,,,,,,FALSO,FALSO,Valor único,65,16
1021,1032,FRUTAS,FRUITS,Naranja Jarabe - Orange Syrup,Orange Syrup,,['36'],,,,,,,,0 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.86 mg,,0.3 g,,,,277 kcal,0.4 g,,,,,,,62 g,,,37 g,,,,,,68 mg,,,,,,1%,,,0.3 g,,,,95.02 mg,,,,,,,,FALSO,FALSO,Valor único,70,11
1022,1033,FRUTAS,FRUITS,Naranja Jugo - Orange Juice,Orange Juice,,"['3,36']",,,,,,,,39.78 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1 g,,,,39 kcal,0 g,,0.3 g,,,,,10.9 g,,,88.7 g,,,,,,,,,,,,1%,,,0 g,,,,,,,,,,0 U.I.,,VERDADERO,FALSO,Posibles valores repetidos,71,10
1023,1034,FRUTAS,FRUITS,Naranja Jugo - Orange Juice,Orange Juice,,"['3,36']",,,,,,,,46.06 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 g,,,,41 kcal,0.1 g,,0.1 g,,,,,11.1 g,,,88.4 g,,,,,,,,,,,,1%,,,0.1 g,,,,,,,,,,0 U.I.,,VERDADERO,VERDADERO,Posibles valores repetidos,71,10
1024,2638,FRUTAS,FRUITS,Naranja Jugo - Orange Juice,Orange Juice,,['36'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4 g,,,,,,,,42 kcal,0.5 g,,,,,,,,,,,,,,,,,,,,,,1%,,,0.3 g,,,,,,,,,,,,FALSO,VERDADERO,Posibles valores repetidos,76,5
1025,2639,FRUTAS,FRUITS,Naranja Jugo - Orange,Orange,,['36'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8 g,,,,,,,,29 kcal,0.6 g,,,,,,,,,,,,,,,,,,,,,,1%,,,0.3 g,,,,,,,,,,,,FALSO,FALSO,Valor único,76,5
1026,1041,FRUTAS,FRUITS,Naranja Naranjada - Orange Orangeade,Orange Orangeade,,['3'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 g,,,,37 kcal,0.1 g,,0 g,,,,,10 g,,,89.6 g,,,,,,,,,,,,1%,,,0.1 g,,,,,,,,,,,,VERDADERO,FALSO,Posibles valores repetidos,73,8
1027,1042,FRUTAS,FRUITS,Naranja Naranjada - Orange Orangeade,Orange Orangeade,,['3'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3 g,,,,44 kcal,0 g,,0 g,,,,,12.1 g,,,87.4 g,,,,,,,,,,,,1%,,,0.2 g,,,,,,,,,,,,VERDADERO,VERDADERO,Posibles valores repetidos,73,8
1028,1043,FRUTAS,FRUITS,Naranja Naranjada - Orange Orangeade,Orange Orangeade,,['3'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 g,,,,44 kcal,0.1 g,,0 g,,,,,11.9 g,,,87.6 g,,,,,,,,,,,,1%,,,0.2 g,,,,,,,,,,,,VERDADERO,VERDADERO,Posibles valores repetidos,73,8
1029,1044,FRUTAS,FRUITS,Naranja Naranjada - Orange Orangeade,Orange Orangeade,,"['3,36']",,,,,,,,0 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 g,,,,45 kcal,0 g,,0 g,,,,,12.3 g,,,87.4 g,,,,,,,,,,,,1%,,,0.2 g,0 mg,,,,0.04 mg,,,,,189.04 U.I.,,FALSO,VERDADERO,Posibles valores repetidos,69,12
103,2820,"AZÚCARES, MIELES Y DULCES","SUGAR, HONEY AND CANDY",Chocolate Cobertura Rendidora - Chocolate Yielding Icing,Chocolate Yielding Icing,,['36'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7 g,,27.83 mg,,1 g,,0 mg,,661.6 kcal,54.4 g,,1.5 g,,,,,40.6 g,2.26 mg,,0.1 g,,,,,,23.27 mg,,,,,,1%,100.74 mg,,2.4 g,,,,51.06 mg,,,,,,,0.98 mg,FALSO,FALSO,Valor único,65,16
1030,1045,FRUTAS,FRUITS,Naranja Naranjita (Con Cáscara) - Orange Oval Kumquat With Peel,Orange Oval Kumquat With Peel,Yucatán,['5'],,,,,,,,34.1 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03 mg,73 mg,,0.5 g,,,,44 kcal,0.26 g,,1.99 g,,,26 mg,,10.28 g,0.42 mg,,85.6 g,,,,,,,,,0.62 mg,,,,,,1.37 g,0.05 mg,,,,0.15 mg,,,,,,,FALSO,FALSO,Valor único,66,15
1031,1046,FRUTAS,FRUITS,Naranja Naranjita (Sin Cáscara) - Orange Oval Kumquat Without Peel,Orange Oval Kumquat Without Peel,Yucatán,['5'],,,,,,,,25.4 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03 mg,62 mg,,0.4 g,,,,40 kcal,0.56 g,,1.84 g,,,35 mg,,7.88 g,0.49 mg,,82.7 g,,,,,,,,,0.46 mg,,,1%,,,2.12 g,0.04 mg,,,,0.17 mg,,,,,,,FALSO,FALSO,Valor único,65,16
1032,1047,FRUTAS,FRUITS,Naranja Sin Cáscara - Orange Without Peel,Orange Without Peel,,['39'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSO,FALSO,Valor único,80,1
1033,1048,FRUTAS,FRUITS,Nispero Del Japón - Loquat Japan,Loquat Japan,Yucatán,['5'],,,,,,,,13.5 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47 mg,24 mg,,0.4 g,,,,42 kcal,0.87 g,,1.17 g,,,14 mg,,9.51 g,1.67 mg,,88 g,,,,,,,,,0.35 mg,,,0.50%,,,0.05 g,0.05 mg,,,,0.03 mg,,,,,,,FALSO,FALSO,Valor único,65,16
1034,1049,FRUTAS,FRUITS,Pagua - Pagua,Pagua,Chiapas,['5'],,,,,,,,67.2 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64 mg,,1.1 g,,,,142 kcal,8.8 g,,5.16 g,,,51 mg,,1.76 g,3.29 mg,,81.8 g,,,,,,,,,1.06 mg,,,0.53%,,,1.38 g,0.09 mg,,,,0.09 mg,,,,,,,VERDADERO,FALSO,Posibles valores repetidos,66,15
1035,1050,FRUTAS,FRUITS,Pagua - Pagua,Pagua,Oaxaca,['5'],,,,,,,,10.6 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05 mg,14 mg,,0.9 g,,,,55 kcal,4.96 g,,2.42 g,,,34 mg,,2.86 g,0.63 mg,,87.8 g,,,,,,,,,1.22 mg,,,0.53%,,,1.06 g,0.06 mg,,,,0.06 mg,,,,,,,FALSO,VERDADERO,Posibles valores repetidos,65,16
1036,1052,FRUTAS,FRUITS,Papaya - Papaya,Papaya,Morelos,['5'],,,,,,,,36.1 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22 mg,16 mg,,0.5 g,,,,33 kcal,0.08 g,,0.82 g,,,4 mg,,8.54 g,0.52 mg,,89.5 g,,,,,,,,,0.28 mg,,,0.68%,,,0.56 g,0.07 mg,,,,0.08 mg,,,,,,,VERDADERO,FALSO,Posibles valores repetidos,65,16
1037,1053,FRUTAS,FRUITS,Papaya - Papaya,Papaya,Morelos,['5'],,,,,,,,43.9 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17 mg,18 mg,,0.7 g,,,,16 kcal,0.05 g,,0.39 g,,,9 mg,,3.82 g,0.49 mg,,94.6 g,,,,,,,,,0.34 mg,,,0.68%,,,0.44 g,0.02 mg,,,,0.04 mg,,,,,,,VERDADERO,VERDADERO,Posibles valores repetidos,65,16
1038,1054,FRUTAS,FRUITS,Papaya - Papaya,Papaya,Veracruz,"['5,38,39']",,,,,,,,64.8 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None g,,,,5.6 g,,36 mg,,0.6 g,,,,,,,,,,23 mg,,,0.37 mg,,91.2 g,,,,,,,,,0.28 mg,0.5 g,1.3 g,0.68%,,,0.56 g,0.03 mg,,,,0.02 mg,,,,,,,VERDADERO,VERDADERO,Posibles valores repetidos,66,15
1039,1055,FRUTAS,FRUITS,Papaya - Papaya,Papaya,"México, Distrito Federal","['34,35']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 mg,,,,,,0.8 g,1.1 g,,,,,,,,,,,,,,,,,,0.68%,,,,,,,,,,,,,,0.44 mg,FALSO,VERDADERO,Posibles valores repetidos,76,5
104,2821,"AZÚCARES, MIELES Y DULCES","SUGAR, HONEY AND CANDY","Chocolate Deshidratado, Instantáneo - Chocolate Powdered, Instant","Chocolate Powdered, Instant",,['36'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4 g,,,,,,,,,,,,,,,1.5 g,,,,,,,,,,,,1%,,,5.9 g,,,,102.34 mg,,,,,,,,FALSO,FALSO,Valor único,76,5
1040,13580,FRUTAS,FRUITS,Papaya Deshidratada - Papaya Dried,Papaya Dried,,['36'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.13 g,,,,0.8 g,,,,347.8 kcal,0 g,,0.19 g,,,,,92.39 g,,,6.2 g,,,,,,,,,,,,,,,0.42 g,,,,,,,,,,,,FALSO,FALSO,Valor único,73,8
1041,1051,FRUTAS,FRUITS,Papaya Néctar Con Piña - Papaya Nectar With Pineapple,Papaya Nectar With Pineapple,,['3'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 g,,,,51 kcal,0.1 g,,0.1 g,,,,,13.9 g,,,85.5 g,,,,,,,,,,,,1%,,,0.2 g,,,,,,,,,,,,FALSO,FALSO,Valor único,73,8
1042,1059,FRUTAS,FRUITS,Pera - Pear,Pear,"México, Distrito Federal",['5'],,,,,,,,9 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 mg,14 mg,,0.3 g,,,,,,,,,,14 mg,,,1.21 mg,,86.4 g,,,,,,,,,0.26 mg,,,0.86%,,,0.31 g,0.04 mg,,,,0.03 mg,,,,,,,VERDADERO,FALSO,Posibles valores repetidos,69,12
1043,1060,FRUTAS,FRUITS,Pera - Pear,Pear,"México, Distrito Federal",['5'],,,,,,,,5.3 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 mg,6 mg,,0.2 g,,,,55 kcal,0.09 g,,2.6 g,,,13 mg,,14.61 g,4.36 mg,,82 g,,,,,,,,,0.32 mg,,,0.86%,,,0.5 g,0.03 mg,,,,0.03 mg,,,,,,,VERDADERO,VERDADERO,Posibles valores repetidos,65,16
1044,1061,FRUTAS,FRUITS,Pera - Pear,Pear,,"['2,20']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 mg,,,,,,,,,,,,,,0.86%,,,,,,,,,,,,,,,FALSO,VERDADERO,Posibles valores repetidos,79,2
1045,1056,FRUTAS,FRUITS,Pera Con Cáscara - Pear With Peel,Pear With Peel,"México, Distrito Federal","['34,35']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33 mg,,,,,,2.5 g,2.87 g,,,,,,,,,,,,,,,,,,0.90%,,,,,,,,,,,,,,0.94 mg,FALSO,FALSO,Valor único,76,5
1046,13584,FRUTAS,FRUITS,Pera Deshidratada - Pear Dried,Pear Dried,,['36'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.05 g,,,,1.01 g,,,,350.5 kcal,0.11 g,,6.41 g,,,,,75.35 g,,,15.3 g,,,,,,,,,,,,,,,1.82 g,,,,,,,,,,,,FALSO,FALSO,Valor único,73,8
1047,1057,FRUTAS,FRUITS,Pera Gamboa - Pear Gamboa,Pear Gamboa,"México, Distrito Federal",['5'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01 mg,6 mg,,0.3 g,,,,66 kcal,0.25 g,,2.71 g,,,7 mg,,17.38 g,0.28 mg,,78.8 g,,,,,,,,,0.15 mg,,,0.90%,,,0.56 g,0.13 mg,,,,0.04 mg,,,,,,,FALSO,FALSO,Valor único,66,15
1048,1058,FRUTAS,FRUITS,Pera Néctar - Pear Nectar,Pear Nectar,,['3'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 g,,,,48 kcal,0.1 g,,0.3 g,,,,,13.2 g,,,86.3 g,,,,,,,,,,,,1%,,,0.1 g,,,,,,,,,,,,FALSO,FALSO,Valor único,73,8
1049,1062,FRUTAS,FRUITS,Peron - Golden,Golden,Puebla,['5'],,,,,,,,4.7 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 mg,12 mg,,0.5 g,,,,60 kcal,0.43 g,,1.26 g,,,5 mg,,15.16 g,0.98 mg,,82.2 g,,,,,,,,,0.13 mg,,,0.70%,,,0.45 g,0.02 mg,,,,0.04 mg,,,,,,,FALSO,FALSO,Valor único,65,16
