conabio_id,clave_original,tipo_alimento,food_type,descripcion_alimento,food_description,procedencia,referencias_ids,taxon_id,taxon,categoria,estatus,fuente,nombre_autoridad,cites,Ácido ascórbico,Ácido  láurico,Ácido araquídico,Ácido aspártico,Ácido behénico,Ácido Butírico,Ácido caprico,Ácido caprílico,Ácido caproico,Ácido cis-10-heptadecanoico,Ácido cis-11-eicosenoico,Ácido cis-11;14-eicosatrienoico,Ácido cis-11;14;17-eicosatrienoico,Ácido elaídico,Ácido esteárico,Ácido glutámico,Ácido heneicosanoico,Ácido heptadecanoico,Ácido lignocérico,Ácido linoleico,Ácido linolénico,Ácido mirístico,Ácido oleico,Ácido palmítico,Ácido palmitoleico,Ácido pentadecanoico,Ácido tricosanoico,Ácido undecanoico,Ácido y-linolénico,Ácidos grasos saturados,Alanina,Almidón,Aminoácidos aromáticos totales,Aminoácidos azufrados totales,Arginina,Azúcares,Beta carotenos,Calcio,Carotenos,Cenizas,Cisteína,Cobre,Colesterol,Energía,Extracto etéreo,Fenilalanina,Fibra bruta,Fibra dietaria insoluble,Fibra dietaria total,Fósforo,Glicina,Hidratos de carbono,Hierro,Histidina,Humedad,Isoleucina,Lactosa,Leucina,Lisina,Litio,Magnesio,Manganeso,Metionina,Niacina,Polisacáridos no amiláceos insolubles,Polisacáridos no amiláceos totales,Porción comestible,Potasio,Prolina,Proteína bruta,Riboflavina (Vitamina B2),Selenio,Serina,Sodio,Tiamina (Vitamina B1),Tirosina,Treonina,Triptófano,Valina,Vitamina A,Zinc,Similar abajo?,Similar arriba?,Check for similar items,Columnas sin macro o micronutrientes,Columnas con macro o micronutrientes
256,2384,"AZÚCARES, MIELES Y DULCES","SUGAR, HONEY AND CANDY",Miel De Maguey - Honey Maguey Juice,Honey Maguey Juice,,['5'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5 g,,,,,,,,,,,,1%,,,2.54 g,,,,,,,,,,,,FALSO,FALSO,Valor único,78,3
2560,115,SEMILLAS DE CEREALES Y DERIVADOS,CEREALS AND BY-PRODUCTS,"Trigo Pasta Para Sopa, Espaguetti Alfredo (Pasta larga) - Wheat (Soup) Pasta, Spaghetti Alfredo (Long Pasta)","Wheat (Soup) Pasta, Spaghetti Alfredo (Long Pasta)","Cocina Económica Alcaldía Gustavo A. Madero 2, Lindavista Sur, San Bartolo Atepehuacan","['55,56']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24 g,,,,134.71 kcal,4.28 g,,0 g,,,,,16.01 g,,,73.9 g,,,,,,,,,,,,,,,4.54 g,,,,387.03 mg,,,,,,,,FALSO,FALSO,Valor único,73,8
2561,2,SEMILLAS DE CEREALES Y DERIVADOS,CEREALS AND BY-PRODUCTS,"Trigo Pasta Para Sopa, Espaguetti Preparado (Pasta larga) - Wheat (Soup) Pasta, Prepared Spaghetti (Long Pasta)","Wheat (Soup) Pasta, Prepared Spaghetti (Long Pasta)","Cocina Económica. AlcaldíaTlalpan I, Belisario Domínguez, Sección XVI","['55,56']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42 g,,,,110.31 kcal,3.71 g,,0 g,,,,,10.67 g,,,78.9 g,,,,,,,,,,,,,,,5.3 g,,,,448.46 mg,,,,,,,,VERDADERO,FALSO,Posibles valores repetidos,73,8
2562,171,SEMILLAS DE CEREALES Y DERIVADOS,CEREALS AND BY-PRODUCTS,"Trigo Pasta Para Sopa, Espaguetti Preparado (Pasta larga) - Wheat (Soup) Pasta, Prepared Spaghetti (Long Pasta)","Wheat (Soup) Pasta, Prepared Spaghetti (Long Pasta)","Cocina Económica Alcaldía Cuajimalpa 2, Cuajimalpa, El Yaqui, Jesús del Monte","['55,56']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05 g,,,,154.96 kcal,6.47 g,,0 g,,,,,21.03 g,,,67.8 g,,,,,,,,,,,,,,,3.66 g,,,,285.44 mg,,,,,,,,VERDADERO,VERDADERO,Posibles valores repetidos,73,8
2563,198,SEMILLAS DE CEREALES Y DERIVADOS,CEREALS AND BY-PRODUCTS,"Trigo Pasta Para Sopa, Espaguetti Preparado (Pasta larga) - Wheat (Soup) Pasta, Prepared Spaghetti (Long Pasta)","Wheat (Soup) Pasta, Prepared Spaghetti (Long Pasta)","Cocina Económica Alcaldía Iztapalapa 1, Leyes de Reforma 1a. Sección, Barrio San Miguel","['55,56']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83 g,,,,136.65 kcal,4.55 g,,0 g,,,,,18.47 g,,,72.6 g,,,,,,,,,,,,,,,3.51 g,,,,253.93 mg,,,,,,,,VERDADERO,VERDADERO,Posibles valores repetidos,73,8
2564,215,SEMILLAS DE CEREALES Y DERIVADOS,CEREALS AND BY-PRODUCTS,"Trigo Pasta Para Sopa, Espaguetti Preparado (Pasta larga) - Wheat (Soup) Pasta, Prepared Spaghetti (Long Pasta)","Wheat (Soup) Pasta, Prepared Spaghetti (Long Pasta)","Cocina Económica Alcaldía Iztapalapa 2, Juan Escutia","['55,56']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26 g,,,,229.01 kcal,15.3 g,,0 g,,,,,17.24 g,,,60.6 g,,,,,,,,,,,,,,,5.55 g,,,,491.8 mg,,,,,,,,FALSO,VERDADERO,Posibles valores repetidos,73,8
2565,258,SEMILLAS DE CEREALES Y DERIVADOS,CEREALS AND BY-PRODUCTS,"Trigo Pasta Para Sopa,  Espaguetti Preparado Con Crema (Pasta Larga) - Wheat (Soup) Pasta, Prepared Spaghetti With Cream (Long Pasta)","Wheat (Soup) Pasta, Prepared Spaghetti With Cream (Long Pasta)","Cocina Económica Alcaldía Benito Juárez 1, Portales Norte, Portales Sur","['55,56']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54 g,,,,116.61 kcal,3.31 g,,0 g,,,,,14.84 g,,,77.1 g,,,,,,,,,,,,,,,3.2 g,,,,498.52 mg,,,,,,,,VERDADERO,FALSO,Posibles valores repetidos,73,8
2566,263,SEMILLAS DE CEREALES Y DERIVADOS,CEREALS AND BY-PRODUCTS,"Trigo Pasta Para Sopa,  Espaguetti Preparado Con Crema (Pasta Larga) - Wheat (Soup) Pasta, Prepared Spaghetti With Cream (Long Pasta)","Wheat (Soup) Pasta, Prepared Spaghetti With Cream (Long Pasta)","Cocina Económica Alcaldía Benito Juárez 2, Letrán Valle,Vertiz Narvarte, Nápoles","['55,56']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09 g,,,,108.08 kcal,3.28 g,,0.03 g,,,,,14.4 g,,,78.4 g,,,,,,,,,,,,,,,2.83 g,,,,421.82 mg,,,,,,,,FALSO,VERDADERO,Posibles valores repetidos,73,8
2567,58,SEMILLAS DE CEREALES Y DERIVADOS,CEREALS AND BY-PRODUCTS,"Trigo Pasta Para Sopa,  Espaguetti Preparado Rojo (Pasta larga) - Wheat (Soup) Pasta, Prepared Spaghetti Red (Long Pasta)","Wheat (Soup) Pasta, Prepared Spaghetti Red (Long Pasta)","Cocina Económica Alcaldía Tlalpan II, Lomas de Padierna, Héroes de Padierna","['55,56']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78 g,,,,131.76 kcal,3.57 g,,0.05 g,,,,,17.11 g,,,74.7 g,,,,,,,,,,,,,,,3.79 g,,,,297.38 mg,,,,,,,,VERDADERO,FALSO,Posibles valores repetidos,73,8
2568,78,SEMILLAS DE CEREALES Y DERIVADOS,CEREALS AND BY-PRODUCTS,"Trigo Pasta Para Sopa,  Espaguetti Preparado Rojo (Pasta larga) - Wheat (Soup) Pasta, Prepared Spaghetti Red (Long Pasta)","Wheat (Soup) Pasta, Prepared Spaghetti Red (Long Pasta)","Cocina Económica Alcaldía Gustavo A. Madero 1, La Raza, Arenal, Vallejo Poniente","['55,56']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35 g,,,,106.57 kcal,2.23 g,,0 g,,,,,18.31 g,,,74.4 g,,,,,,,,,,,,,,,3.74 g,,,,416.65 mg,,,,,,,,FALSO,VERDADERO,Posibles valores repetidos,73,8
